cst_key,cst_id,cst_firstname,cst_lastname,cst_marital_status,cst_gndr,cst_create_date,BDATE,GEN,CNTRY
AW00011000,11000.0,Jon,Yang,M,M,2025-10-06,,,Australia
AW00011001,11001.0,Eugene,Huang,S,M,2025-10-06,,,Australia
AW00011002,11002.0,Ruben,Torres,M,M,2025-10-06,,,Australia
AW00011003,11003.0,Christy,Zhu,S,F,2025-10-06,,,Australia
AW00011004,11004.0,Elizabeth,Johnson,S,F,2025-10-06,,,Australia
AW00011005,11005.0,Julio,Ruiz,S,M,2025-10-06,,,Australia
AW00011006,11006.0,Janet,Alvarez,S,F,2025-10-06,,,Australia
AW00011007,11007.0,Marco,Mehta,M,M,2025-10-06,,,Australia
AW00011008,11008.0,Rob,Verhoff,S,F,2025-10-06,,,Australia
AW00011009,11009.0,Shannon,Carlson,S,M,2025-10-06,,,Australia
AW00011010,11010.0,Jacquelyn,Suarez,S,F,2025-10-06,,,Australia
AW00011011,11011.0,Curtis,Lu,M,M,2025-10-06,,,Australia
AW00011012,11012.0,Lauren,Walker,M,F,2025-10-06,,,US
AW00011013,11013.0,Ian,Jenkins,M,M,2025-10-06,,,US
AW00011014,11014.0,Sydney,Bennett,S,F,2025-10-06,,,US
AW00011015,11015.0,Chloe,Young,S,F,2025-10-06,,,US
AW00011016,11016.0,Wyatt,Hill,M,M,2025-10-07,,,US
AW00011017,11017.0,Shannon,Wang,S,F,2025-10-07,,,Australia
AW00011018,11018.0,Clarence,Rai,S,M,2025-10-07,,,Australia
AW00011019,11019.0,Luke,Lal,S,M,2025-10-07,,,Canada
AW00011020,11020.0,Jordan,King,S,M,2025-10-07,,,Canada
AW00011021,11021.0,Destiny,Wilson,S,F,2025-10-07,,,US
AW00011022,11022.0,Ethan,Zhang,M,M,2025-10-07,,,US
AW00011023,11023.0,Seth,Edwards,M,M,2025-10-07,,,US
AW00011024,11024.0,Russell,Xie,M,M,2025-10-07,,,US
AW00011025,11025.0,Alejandro,Beck,M,M,2025-10-07,,,Australia
AW00011026,11026.0,Harold,Sai,S,M,2025-10-07,,,Australia
AW00011027,11027.0,Jessie,Zhao,M,M,2025-10-07,,,Australia
AW00011028,11028.0,Jill,Jimenez,M,F,2025-10-07,,,Australia
AW00011029,11029.0,Jimmy,Moreno,M,M,2025-10-07,,,Australia
AW00011030,11030.0,Bethany,Yuan,M,F,2025-10-07,,,Australia
AW00011031,11031.0,Theresa,Ramos,M,F,2025-10-07,,,Australia
AW00011032,11032.0,Denise,Stone,M,F,2025-10-07,,,Australia
AW00011033,11033.0,Jaime,Nath,M,M,2025-10-07,,,Australia
AW00011034,11034.0,Ebony,Gonzalez,M,F,2025-10-07,,,Australia
AW00011035,11035.0,Wendy,Dominguez,M,F,2025-10-07,,,Australia
AW00011036,11036.0,Jennifer,Russell,M,F,2025-10-07,,,US
AW00011037,11037.0,Chloe,Garcia,S,F,2025-10-07,,,Canada
AW00011038,11038.0,Diana,Hernandez,M,F,2025-10-07,,,Australia
AW00011039,11039.0,Marc,Martin,M,M,2025-10-07,,,Australia
AW00011040,11040.0,Jesse,Murphy,M,M,2025-10-07,,,US
AW00011041,11041.0,Amanda,Carter,M,F,2025-10-07,,,US
AW00011042,11042.0,Megan,Sanchez,M,F,2025-10-07,,,US
AW00011043,11043.0,Nathan,Simmons,M,M,2025-10-07,,,US
AW00011044,11044.0,Adam,Flores,M,M,2025-10-07,,,Australia
AW00011045,11045.0,Leonard,Nara,S,M,2025-10-07,,,Australia
AW00011046,11046.0,Christine,Yuan,M,F,2025-10-07,,,Australia
AW00011047,11047.0,Jaclyn,Lu,M,F,2025-10-07,,,Australia
AW00011048,11048.0,Jeremy,Powell,M,M,2025-10-07,,,Australia
AW00011049,11049.0,Carol,Rai,S,F,2025-10-07,,,US
AW00011050,11050.0,Alan,Zheng,M,M,2025-10-07,,,Australia
AW00011051,11051.0,Daniel,Johnson,S,M,2025-10-07,,,Australia
AW00011052,11052.0,Heidi,Lopez,S,F,2025-10-07,,,Australia
AW00011053,11053.0,Ana,Price,M,F,2025-10-07,,,US
AW00011054,11054.0,Deanna,Munoz,M,F,2025-10-07,,,Australia
AW00011055,11055.0,Gilbert,Raje,M,M,2025-10-07,,,Australia
AW00011056,11056.0,Michele,Nath,M,F,2025-10-07,,,Australia
AW00011057,11057.0,Carl,Andersen,M,M,2025-10-07,,,Australia
AW00011058,11058.0,Marc,Diaz,M,M,2025-10-07,,,Australia
AW00011059,11059.0,Ashlee,Andersen,S,F,2025-10-07,,,Australia
